stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,13,3,4,0,0,2,0,0,0,0,0,0,1,0,9,0,0,6,64,0,0,0,2,3,13,0,1,13,30,0,0,2,0,0
 24-34,0,0,1.64,0,12.31,0.82,0.82,1.64,0.82,0.82,0,0.82,0.82,0,0,0,13.13,0,0,8.21,132.98,0.82,0.82,1.64,0,8.21,0,1.64,0,1.64,39.4,0,0,0,0,0
 36-46,0,0,0.81,0,15.31,0,0.81,2.42,0,0,0,0.81,0,0,0.81,0,8.86,0,0,3.22,80.57,0,0,1.61,0,2.42,0,0.81,0,0,17.72,0,0,0.81,0,1.61
 48-58,0,0,1.15,0,53.36,0.57,1.72,6.31,0,0.57,0.57,0.57,0,0.57,0,0,17.21,0,0.57,0.57,86.64,1.15,0.57,0,0,1.72,0,0,0,0,22.38,0,0,1.15,0,0.57
 60-70,0,0,3.93,0,229.68,2.94,0,15.7,0,0,0.98,0,0.98,0,0,0,21.59,0,0,0.98,333.72,0,1.96,0.98,0,3.93,0,0.98,0,0,43.19,0,0,2.94,0,0
 72-82,0,0,0.98,1.96,169.83,0,0,8.83,1.96,0,0.98,0,0,1.96,0.98,0,18.65,0.98,0.98,4.91,122.71,0,1.96,0.98,0,1.96,0,0.98,0,0,6.87,0,0,2.94,0,0.98
 84-94,0,0,4.25,1.06,110.45,0,0,3.19,1.06,1.06,0,0,0,0,0,0,10.62,0,2.12,2.12,55.23,0,1.06,1.06,0,6.37,0,3.19,0,0,4.25,0,0,1.06,1.06,1.06
 96-106,1.09,0,1.09,2.19,83.06,0,1.09,5.46,1.09,1.09,2.19,1.09,1.09,0,1.09,0,15.3,0,0,1.09,75.41,1.09,3.28,0,0,5.46,0,2.19,0,0,1.09,1.09,0,4.37,2.19,0
108-118,0,0,3.83,0,56.68,0,0.77,4.6,0.77,0,3.06,0,1.53,0,0,0,9.96,0.77,0,3.06,61.28,0,0.77,0,0,2.3,0,0.77,0,0,3.83,0,0,1.53,0,0
120,0,0,11.76,1.96,64.67,0,1.96,5.88,1.96,0,0,0,0,0,1.96,1.96,17.64,0,0,0,66.63,0,0,1.96,0,1.96,0,1.96,0,0,3.92,1.96,1.96,1.96,0,0
