stage,blastomeres,endoderm,epidermis,eye,immune,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,0,0,0,0,0,0,0,0,12.25,0,0
  5-6,26.74,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.57,0,0,0,0,31.59,37.39,118.19,3.26,0,0
 10-12,0,17.82,0,0,0,0,38.48,0,53.46,0,4.56,0
 14-21,0,0,3.18,0,0,0,7.39,3.38,3.48,0.97,0,16.23
 24-34,0,0,3.78,0,0,0.73,8.66,0,0,0,0,0.71
 36-46,0,0,4.3,0,0,0,5.57,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,5.16,0,0,0,0,1.97
 60-70,0,0,0,4.87,0,0,2.16,0,0,0,0,0
 72-82,0,0,0,0,0,0,12.28,0,0,0,0,0
 84-94,0,0,0,0.72,0.67,0,2.22,0,0,0,0,0
 96-106,0,0,0,0,0,0,7.37,0,0,0,0,0
108-118,0,0,0,0,0,0,4.71,0,0,0,0,0
120,0,0,0,0,3.58,0,0,0,0,0,0,0
