stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,2.5,0,0,0,0,0.83
3dpf,5.75,0,0.57,0,1.15,0
5dpf,1.03,1.03,0,0.52,2.07,2.58
10dpf,1.26,0,0,0,1.26,0
