stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,9,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,28,0,8,27,0,0,0,2,3,5,0,0,7,0,0
 24-34,0,0,0,1.64,1.64,2.46,0,3.28,0,0,0,0.82,0.82,0,0,14.78,0.82,2.46,0.82,0.82,1.64,0,100.14,3.28,25.45,7.39,0,0,2.46,0,0.82,21.34,0,0,21.34,0,1.64
 36-46,0,0,0,0,2.42,0.81,0,11.28,0,0,3.22,0,0,0,0.81,4.83,0,4.83,0.81,1.61,2.42,0,194.97,2.42,33.84,4.83,0,0,0,0.81,0,33.03,0,0,7.25,0,6.45
 48-58,0,0,0,0.57,1.72,0,0,24.67,0,0,21.23,1.15,0,0,0,0.57,1.72,4.02,0.57,23.53,5.16,0,250.75,0.57,21.23,4.02,0,1.72,0,0,0,38.44,0,0,5.16,0,8.61
 60-70,0,0,1.96,0.98,0.98,0,0,147.23,0,0.98,31.41,0.98,0,0,0.98,0.98,2.94,8.83,0,91.28,7.85,0,428.93,0.98,30.43,8.83,0,0,0.98,0,0,46.13,0,0,10.8,0,4.91
 72-82,0,0,0.98,0,1.96,0,2.94,255.23,0,1.96,41.23,23.56,0.98,1.96,3.93,0,0.98,18.65,0,129.58,13.74,1.96,409.35,0.98,42.21,9.82,0,0,0,0,0,43.19,2.94,0.98,21.6,0,9.82
 84-94,0,0,4.25,1.06,6.37,0,4.25,145.5,0,1.06,24.43,38.23,1.06,0,1.06,2.12,2.12,18.05,1.06,116.82,12.74,1.06,220.9,0,35.05,6.37,0,3.19,0,0,0,19.12,3.19,0,15.93,1.06,9.56
 96-106,0,0,1.09,0,4.37,1.09,8.74,166.11,0,0,22.95,43.71,2.19,0,5.46,3.28,1.09,22.95,3.28,62.29,16.39,2.19,172.67,0,57.92,5.46,0,3.28,0,0,0,7.65,7.65,1.09,34.97,0,9.84
108-118,0,0,1.53,0,6.89,2.3,50.55,119.49,0,0.77,22.21,57.45,0,0,4.6,4.6,5.36,22.21,2.3,39.83,8.43,1.53,206.04,0,31.4,4.6,0,1.53,0.77,0,0,4.6,2.3,0,18.38,0.77,5.36
120,0,0,0,0,3.92,3.92,13.72,78.39,1.96,0,17.64,56.83,0,0,1.96,3.92,3.92,7.84,0,27.44,7.84,1.96,156.78,0,31.36,5.88,0,0,0,0,0,5.88,1.96,0,27.44,0,1.96
