stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1041.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1048.17,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,122.59,12.26,0,0,42.91,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,15.77,0,0,34.17,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,441.62,7.89,0,0,147.21,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,22.03,0,3.15,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,443.72,12.59,0,0,176.23,0,0,0,22.03,0,0,6.29,0,0,0,0,0
 14-21,1,0,11,171,18,56,0,0,0,19,4,0,4,0,3,0,1,0,0,82,0,0,51,938,25,7,3,36,0,2,85,5,2,84,265,0,0,8,0,0
 24-34,0,0,2.46,57.46,0.82,45.97,0,0,0.82,14.78,0.82,0,0,0,0,1.64,9.03,0,0,149.4,0,1.64,27.91,933.31,4.1,16.42,3.28,0,0,7.39,0,0,0,14.78,150.22,0,0,5.75,0,1.64
 36-46,0,0,1.61,17.72,0,28.2,0,0,0.81,22.56,0,0,0,0.81,0,0,4.03,0,0,120.04,0,0.81,14.5,584.11,1.61,4.03,1.61,0,0,4.83,0,0.81,0,0,116.82,0,0,2.42,0,0
 48-58,0,0,0,14.35,0.57,53.36,0,0,1.72,63.69,0,0,0.57,0,0,0,6.31,1.15,0,197.39,0.57,0.57,19.51,476.26,0.57,2.87,1.15,0,0,2.87,0,0.57,0,0,91.81,0,0,1.72,0,0.57
 60-70,0,0,0,7.85,0,59.87,0.98,0.98,0.98,67.73,0,0,0,0,0,0,5.89,0,0,202.19,0.98,3.93,13.74,342.55,0,2.94,4.91,0,0,2.94,0,0,0,0,39.26,0,0.98,0.98,0.98,0.98
 72-82,0,0,0,4.91,0,17.67,0.98,0,0.98,20.61,0,0,0,0,0,0,0.98,0,0.98,115.84,0,1.96,7.85,111.91,0,2.94,1.96,0,0.98,1.96,0,0,0,0,12.76,0.98,1.96,0.98,0,0
 84-94,0,0,0,10.62,0,40.36,1.06,0,3.19,14.87,0,0,0,0,0,0,3.19,0,1.06,148.69,1.06,1.06,8.5,109.39,0,0,3.19,0,1.06,1.06,0,0,0,0,10.62,1.06,1.06,0,1.06,0
 96-106,0,0,0,17.49,1.09,22.95,0,0,3.28,26.23,1.09,0,1.09,1.09,0,2.19,10.93,2.19,0,151.91,0,1.09,14.21,103.82,1.09,8.74,5.46,0,0,2.19,0,0,0,0,12.02,1.09,0,2.19,1.09,0
108-118,0,0,0,6.13,0.77,9.19,0.77,1.53,3.06,18.38,0,0,0,0,0,0,1.53,0.77,0,85.02,0,0.77,6.13,92.68,0,1.53,0.77,0,0.77,0.77,0,0.77,0,0,4.6,0,0,1.53,1.53,0
120,0,0,0,9.8,0,25.48,1.96,0,1.96,27.44,0,0,0,0,1.96,0,3.92,1.96,0,97.99,0,0,3.92,117.59,0,0,1.96,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0
