stage,eye,glial,ionocyte,mesenchyme,neural,olfactory,spinal_cord
 24-34,0.64,0,0,0,2.55,0,0
 36-46,0,1.22,0,0,4.86,0,1.29
 48-58,3.94,0,0,0,11.09,0,0.76
 60-70,6.49,0,0,0,21.63,0.89,3.95
 72-82,8.7,1.06,0,0.66,27.86,0.71,3.57
 84-94,5.37,0,0,1.09,19.22,0,0
 96-106,9.96,0,0,1.01,24.84,0,0
108-118,15.41,2.59,0.64,0,18.75,0,6.36
120,19.35,0,0,0,21.83,0,0
