stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord,vasculature
 14-21,2.74,1.65,0,0,0,0,0,0,0,0,0,13.92,0,1.06,13.41,5.98,0
 24-34,0.63,3.61,0,0,0,0,0,0,2.23,0,0,17.18,0,0.78,0,1.02,0
 36-46,0,0.74,0,0,0,0,0,0,0.75,0,0,13.68,0,0,0,2.62,0
 48-58,0,9.03,0,0.55,0.57,0,0,0,6.37,0.4,0.43,16.99,1.09,0,0,0,0
 60-70,0,0,1.81,0,3.6,0,0,2.09,0,0,0,10.54,0,2.32,0,0,0
 72-82,0,0,0,0,1.13,0,0,0,0,1.36,1.73,2.4,0,0,0,0,0
 84-94,1.84,0,0,0,1.32,0,0,0,0.87,0,0,0,0,0,0,0,0
 96-106,0,1.34,0.81,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0
108-118,1.01,0.74,0,0.61,0,2.8,0,0,6.22,0,0.45,6.4,0,0,0,0,2.94
120,0,0,0,0,17.04,0,1.65,0,0,0,0,17.21,0,0,0,0,0
