stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,3,0,0,0,0,0,0,0,1,1,2,2,17,0,0,0,0,0
72hpf,0.56,0.28,0,0.56,0,0,0,0,0,0,1.13,0.56,0.28,0,2.54,2.82,0.28,0,0,0,0
21Day,0.37,0,0.37,9.62,0,0,0,0,0,0,0,2.96,0.37,1.11,2.22,0.74,0,0,0,0,0
3Month,0,0,0,1.46,0.1,0,0,0.94,0.1,0.31,0,0.73,0.1,0,0,0,0,0.94,0.1,0.1,0.21
22Month,0,0.14,0,0.41,0,0.14,0.14,1.5,0,0.68,0.27,0,0,0,0,0,0,0.14,0,0,0
