stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,4.09,4.09,0,0,8.17,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,5.35,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,4.28,2.14,0,0,0,0,1.07,1.07,0,0,0
21Day,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0
3Month,0.32,1.28,0.32,15.04,1.92,0.64,0.32,0.64,2.88,22.72,4.8,5.76,5.44,2.24,4.16,3.84,0.96,0.96,1.6,0.64,0,1.28,1.6,3.2,17.6,0,0.64,1.6,942.25,3.2
22Month,0,0,0,1.09,0,0,0.55,0,0,2.19,0,1.64,0,0,0.55,0,0,0,0,0,0,0,0,0,4.92,0,0,0,2.19,0
